name,gender,before,after,dob,height,weight,athletic_selfassessment,did swim,did cycle,did run
India,F,77,97,2008-05-11,173,61.68,poor,1,0,0
Riley,F,79,103,2008-06-18,152,46.43,good,1,1,1
Jesse,M,82,,2008-07-02,171,61.33,good,0,0,1
Jessica,F,80,111,2008-07-06,150,47.13,medium,0,0,1
Cooper,M,84,101,2008-07-12,168,50.54,medium,0,1,1
Archie,M,64,84,2008-07-30,154,53.49,poor,1,1,1
Oscar,M,86,108,2008-09-10,166,57.76,good,0,1,0
Hannah,F,74,91,2008-10-02,157,40.19,good,1,0,0
Isabella,F,78,100,2008-10-05,157,43.04,poor,1,0,0
Rangimarie,F,78,98,2008-10-15,159,48.97,medium,1,1,1
Awhina,F,77,102,2008-10-17,147,50.97,poor,0,0,1
Samantha,F,83,115,2008-10-27,151,41.41,poor,1,0,0
Olivia,F,91,116,2008-10-28,172,65.75,poor,0,1,1
Mitchell,M,77,102,2008-11-11,165,56.53,medium,0,0,1
Abigail,F,82,112,2008-11-23,175,60.53,medium,1,0,1
Charlotte,F,87,112,2008-11-23,156,53.37,medium,1,1,0
Andrew,M,79,107,2008-12-02,172,47.16,poor,0,1,0
Bethany,F,79,105,2008-12-22,165,41.04,medium,0,1,0
Matthew,M,83,112,2008-12-28,172,57.82,poor,0,0,1
Zion,M,79,102,2008-12-29,164,51.96,good,1,1,1
Max,M,84,106,2008-12-30,171,50.41,medium,1,1,1
Chloe,F,72,94,2009-01-04,152,47.61,medium,1,0,0
Maddox,M,82,98,2009-01-23,157,42.57,good,1,1,0
Alexander,M,66,92,2009-01-29,169,58.26,medium,1,1,1
Bella,F,81,107,2009-02-10,155,51.05,medium,1,0,0
Jordan,M,78,97,2009-02-11,152,49.55,poor,0,1,1
Ryan,M,89,109,2009-02-24,174,55.32,poor,0,0,1
Blake,M,76,100,2009-02-27,164,57.26,good,1,0,0
Xavier,M,78,109,2009-02-28,176,62.74,good,0,0,1
Charlie,M,77,108,2009-03-06,167,56.33,medium,1,0,1
Amy,F,72,93,2009-03-29,156,45.48,medium,1,1,0
Jackson,M,69,89,2009-04-06,161,44.32,poor,1,0,0
Liam,M,81,104,2009-04-10,179,61.45,medium,1,1,1
Anthony,M,80,109,2009-05-06,176,53.36,medium,1,0,1
Imogen,F,88,112,2009-05-20,159,53.82,good,0,1,0
Brooklyn,F,78,102,2009-05-21,157,45.28,medium,0,0,1
Leo,M,84,102,2009-06-19,162,53.79,good,1,1,1
Harry,M,85,115,2009-06-20,177,57.54,medium,1,1,1
Brylee,F,86,115,2009-06-22,153,44.09,medium,0,1,1
Hamish,M,66,88,2009-07-06,168,56.78,poor,1,1,1
Kyan,M,70,90,2009-07-18,161,56.3,good,1,0,0
Marco,M,81,97,2009-07-21,163,54.86,medium,0,1,1
Chloe,F,82,102,2009-07-24,153,45.65,medium,0,1,0
Samuel,M,81,97,2009-07-26,155,53.3,good,1,1,0
Calvin,M,91,127,2009-08-02,163,50.68,good,1,1,1
Kyla,F,79,97,2009-08-21,162,58.62,medium,1,1,0
Samuel,M,73,92,2009-09-01,152,43.28,medium,1,0,0
Dylan,M,94,122,2009-09-18,174,57.73,medium,1,0,1
Mia,F,79,105,2009-10-09,161,50.96,medium,1,0,0
Kathryn,F,73,91,2009-11-23,167,64.74,poor,1,1,1
Connor,M,83,111,2009-12-09,163,55.58,good,1,0,0
William,M,73,91,2009-12-23,173,63.2,good,0,0,1
Jayden,M,84,116,2009-12-28,151,46.7,medium,0,0,1
Hendrix,M,80,109,2010-01-15,155,48.99,good,1,0,1
Madeline,F,78,102,2010-01-17,149,37.26,good,1,0,0
Cody,M,76,105,2010-01-24,170,68.99,good,0,0,1
Kaitlyn,F,88,121,2010-01-30,154,41.01,poor,0,0,1
William,M,84,112,2010-02-01,158,51.65,good,0,0,1
Benjamin,M,69,94,2010-02-26,164,58.53,medium,1,1,0
Shayla,F,90,124,2010-03-06,165,51.31,poor,1,1,0
